time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-30T03:04:53.900Z,18.1697,-67.2615,29,2.8,Md,19,176.4,0.11947593,0.17,pr,pr16304000,2016-10-30T03:24:02.495Z,"13km WSW of Mayaguez, Puerto Rico",earthquake,0.6,0.9,0,11,reviewed,pr,pr
2016-10-30T01:00:21.320Z,-6.5873,129.9189,173.08,4.5,mb,,88,1.948,1.06,us,us1000730l,2016-10-30T01:54:00.040Z,"215km NW of Saumlaki, Indonesia",earthquake,7.3,9.7,0.127,18,reviewed,us,us
2016-10-29T23:57:08.720Z,35.1025,-119.1186667,20.28,2.77,ml,40,65,0.2378,0.25,ci,ci37513935,2016-10-30T00:25:28.758Z,"25km NW of Grapevine, CA",earthquake,0.4,1.43,0.156,26,automatic,ci,ci
2016-10-29T23:17:31.270Z,12.6778,-87.8705,65.56,4.4,mb,,147,0.8,0.89,us,us1000730b,2016-10-29T23:36:10.040Z,"46km W of Jiquilillo, Nicaragua",earthquake,6.5,10,0.061,77,reviewed,us,us
2016-10-29T22:01:39.050Z,-33.8343,-72.5594,10,5.1,mb,,79,0.807,0.75,us,us100072zy,2016-10-29T22:49:27.419Z,"90km WSW of San Antonio, Chile",earthquake,4.6,1.8,0.052,122,reviewed,us,us
2016-10-29T21:48:31.360Z,33.5061667,-116.5436667,8.45,2.75,ml,86,25,0.05023,0.2,ci,ci37513831,2016-10-30T01:31:22.473Z,"13km ESE of Anza, CA",earthquake,0.16,0.36,0.202,25,automatic,ci,ci
2016-10-29T20:15:28.940Z,40.0004,19.7085,11.87,4.4,mb,,49,0.295,0.86,us,us100072zr,2016-10-30T00:23:16.615Z,"11km SSW of Himare, Albania",earthquake,6,6.5,0.095,32,reviewed,us,us
2016-10-29T19:19:55.720Z,-4.7363,149.5869,583.59,4.7,mb,,31,2.625,0.79,us,us100072zm,2016-10-30T00:13:52.040Z,"109km NW of Kimbe, Papua New Guinea",earthquake,9.7,5.2,0.055,101,reviewed,us,us
2016-10-29T18:11:00.700Z,58.1442,149.0596,17.48,4.8,mb,,66,1.688,0.85,us,us100072zd,2016-10-29T19:43:09.040Z,"184km SSW of Arman', Russia",earthquake,7.5,4.5,0.046,144,reviewed,us,us
2016-10-29T16:24:33.730Z,42.8071,13.0378,10,4.5,mb,,53,0.232,1.04,us,us100072z3,2016-10-29T21:25:13.040Z,"4km WNW of Norcia, Italy",earthquake,4.8,1.9,0.15,13,reviewed,us,us
2016-10-29T13:16:48.000Z,62.5663,-151.3002,91.8,2.6,ml,,,,0.55,ak,ak14283805,2016-10-29T13:54:02.020Z,"67km WNW of Talkeetna, Alaska",earthquake,0.3,0.7,,,automatic,ak,ak
2016-10-29T12:51:35.960Z,31.0708,-103.3227,5,3,mb_lg,,102,1.28,0.6,us,us100072yp,2016-10-29T13:08:18.040Z,"42km SSE of Pecos, Texas",earthquake,2.9,2,0.093,30,reviewed,us,us
2016-10-29T12:20:15.020Z,29.9304,-42.42,10,5.2,mb,,60,14.616,1.13,us,us100072yi,2016-10-29T12:59:59.040Z,Northern Mid-Atlantic Ridge,earthquake,10.4,1.8,0.026,481,reviewed,us,us
2016-10-29T12:11:27.630Z,36.5602,-97.393,1.97,2.7,mb_lg,,88,0.168,0.39,us,us100072yg,2016-10-29T16:35:50.827Z,"15km SSW of Tonkawa, Oklahoma",earthquake,0.8,7.4,0.102,25,reviewed,us,us
2016-10-29T11:50:23.400Z,36.5669,-97.3982,5.37,3,mb_lg,,90,0.176,0.33,us,us100072y9,2016-10-29T16:26:24.159Z,"14km SSW of Tonkawa, Oklahoma",earthquake,1.2,6.9,0.065,61,reviewed,us,us
2016-10-29T11:44:53.780Z,36.5567,-97.4034,3.28,2.8,mb_lg,,88,0.169,0.42,us,us100072y7,2016-10-29T16:37:14.856Z,"15km SSW of Tonkawa, Oklahoma",earthquake,0.9,7.3,0.075,46,reviewed,us,us
2016-10-29T10:54:22.000Z,68.8728,-144.8831,0,3.4,ml,,,,0.69,ak,ak14283731,2016-10-29T11:42:06.717Z,"87km NNE of Arctic Village, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-10-29T10:53:51.000Z,59.8683,-153.3368,117.6,3.3,ml,,,,0.67,ak,ak14283725,2016-10-29T15:33:36.326Z,"76km SSW of Redoubt Volcano, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-10-29T09:21:47.570Z,45.1571,150.1096,54.29,4.5,mb,,162,5.423,0.62,us,us100072xq,2016-10-29T09:51:16.040Z,"175km E of Kuril'sk, Russia",earthquake,10.1,8.8,0.058,89,reviewed,us,us
2016-10-29T08:22:41.900Z,18.2721,-64.2324,2,2.6,Md,4,345.6,0.51563297,0.31,pr,pr16303009,2016-10-29T12:29:18.741Z,"43km ESE of Road Town, British Virgin Islands",earthquake,9.2,4.2,0,4,reviewed,pr,pr
2016-10-29T08:07:32.050Z,-57.8887,-25.4658,67.29,4.6,mb,,114,7.145,0.95,us,us100072xh,2016-10-29T08:57:14.040Z,"141km NNE of Bristol Island, South Sandwich Islands",earthquake,12.3,6,0.091,36,reviewed,us,us
2016-10-29T07:18:50.000Z,52.7421,-166.7139,20,2.6,ml,,,,0.68,ak,ak14283661,2016-10-29T20:33:20.669Z,"126km S of Unalaska, Alaska",earthquake,1.7,,,,reviewed,ak,ak
2016-10-29T07:17:13.340Z,39.3429,143.4613,15.51,4.7,mwr,,134,2.338,0.88,us,us100072xa,2016-10-29T13:25:12.859Z,"130km E of Yamada, Japan",earthquake,7.6,5.1,0.083,14,reviewed,us,us
2016-10-29T06:57:00.700Z,18.8017,-64.5469,4,3.3,Md,15,295.2,0.3880722,0.21,pr,pr16303006,2016-10-29T07:26:17.632Z,"43km N of Road Town, British Virgin Islands",earthquake,1.2,1.2,0,13,reviewed,pr,pr
2016-10-29T06:06:02.580Z,36.3927,-96.8914,1.23,3.3,mb_lg,,58,0.013,0.21,us,us100072x0,2016-10-29T06:34:50.863Z,"9km NW of Pawnee, Oklahoma",earthquake,1.1,5.4,0.056,82,reviewed,us,us
2016-10-29T05:43:27.500Z,19.2982,-65.374,50,2.9,Md,5,302.4,0.98814681,0.1,pr,pr16303007,2016-10-29T08:45:22.700Z,"108km NNE of Vieques, Puerto Rico",earthquake,2.8,8.8,0,4,reviewed,pr,pr
2016-10-29T05:07:36.600Z,18.427,-64.7567,87,2.8,Md,12,194.4,0.09522142,0.05,pr,pr16303005,2016-10-29T05:24:24.265Z,"14km W of Road Town, British Virgin Islands",earthquake,1.1,0.5,0,11,reviewed,pr,pr
2016-10-29T03:56:37.120Z,38.0643349,-118.8054962,10.95,2.83,md,37,98,0.2961,0.07,nc,nc72717590,2016-10-30T02:36:04.615Z,"42km ESE of Bridgeport, California",earthquake,0.24,1.38,0.22,36,automatic,nc,nc
2016-10-29T03:30:29.000Z,52.2272,-173.3935,83.6,2.6,ml,,,,0.45,ak,ak14283614,2016-10-29T20:06:36.233Z,"55km E of Atka, Alaska",earthquake,5.7,1.1,,,reviewed,ak,ak
2016-10-29T03:21:34.380Z,-14.8349,166.8444,39.94,5.1,mb,,109,5.921,0.91,us,us100072wd,2016-10-29T03:40:35.040Z,"32km NW of Port-Olry, Vanuatu",earthquake,11.5,7.5,0.056,110,reviewed,us,us
2016-10-29T02:20:27.590Z,36.8561668,-121.5981674,6.88,2.67,md,52,60,0.02867,0.1,nc,nc72717560,2016-10-29T21:22:22.367Z,"5km SE of Aromas, California",earthquake,0.2,0.32,0.17,66,automatic,nc,nc
2016-10-29T02:00:57.000Z,19.0195,-64.9496,34,2.6,Md,3,295.2,0.70427918,0.25,pr,pr16303004,2016-10-29T04:11:10.449Z,"75km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.3,16.4,0,2,reviewed,pr,pr
